school_name,number_applicants,acceptance_rate,sat_quartile_range,act_quartile_range,sat_lower_quartile,sat_upper_quartile
Quinnipiac University,22753,0.725,1090-1260,23-28,1090.0,1260.0
Duquesne University,7411,0.725,1130-1300,23-28,1130.0,1300.0
University of Illinois—​Chicago,22696,0.727,1030-1260,21-28,1030.0,1260.0
University of Akron,14553,0.73,990-1230,19-25,990.0,1230.0
St. John's University (NY),27276,0.731,1070-1270,23-29,1070.0,1270.0
University of Cincinnati,23296,0.731,1160-1370,24-29,1160.0,1370.0
Simmons University,2933,0.731,1110-1290,23-29,1110.0,1290.0
Wayne State University,15716,0.731,1010-1230,21-27,1010.0,1230.0
Butler University,14891,0.732,1150-1330,24-30,1150.0,1330.0
Point Loma Nazarene University,3277,0.737,1140-1310,24-29,1140.0,1310.0
University of North Texas,21540,0.737,1060-1250,20-26,1060.0,1250.0
University of North Georgia,6498,0.737,1108-1273,22-27,1108.0,1273.0
Xavier University,15100,0.738,1070-1250,22-28,1070.0,1250.0
Wheaton College (MA),3460,0.7390000000000001,1150-1340,27-32,1150.0,1340.0
Eastern Michigan,14323,0.741,970-1190,19-25,970.0,1190.0
University of Washington--Bothell,4242,0.741,1038-1250,19-28,1038.0,1250.0
Adelphi University,13006,0.742,1080-1270,22-27,1080.0,1270.0
Baldwin Wallace University,3926,0.742,1030-1250,21-27,1030.0,1250.0
Michigan Technological University,5978,0.743,1170-1370,25-30,1170.0,1370.0
Drexel University,31824,0.747,1190-1390,25-31,1190.0,1390.0
University of Redlands,4713,0.75,1100-1250,23-28,1100.0,1250.0
Loyola University New Orleans,5857,0.75,1050-1260,22-28,1050.0,1260.0
California State University--Monterey Bay,12327,0.753,960-1170,17-23,960.0,1170.0
Whittier College,6220,0.759,1030-1213,20-25,1030.0,1213.0
Kalamazoo College,3576,0.76,1170-1370,25-31,1170.0,1370.0
Towson University,12678,0.763,1060-1220,20-25,1060.0,1220.0
Centre College,2212,0.764,1130-1380,26-32,1130.0,1380.0
University of Texas San Antonio,17122,0.7659999999999999,1030-1220,19-25,1030.0,1220.0
James Madison University,23578,0.768,1120-1290,23-28,1120.0,1290.0
Appalachian State University,16664,0.768,1100-1270,22-28,1100.0,1270.0
Indiana University—​Bloomington,44169,0.769,1150-1360,24-31,1150.0,1360.0
High Point University,10098,0.769,1090-1250,22-27,1090.0,1250.0
Virginia Commonwealth University,18622,0.7709999999999999,1070-1260,21-28,1070.0,1260.0
University of Arkansas—​Fayetteville,17913,0.7709999999999999,1120-1300,23-30,1120.0,1300.0
John Brown University,1094,0.7709999999999999,1060-1365,23-30,1060.0,1365.0
University of Idaho,8071,0.778,1010-1240,20-27,1010.0,1240.0
University of Missouri,18948,0.778,1090-1290,23-29,1090.0,1290.0
Willamette University,3972,0.779,1140-1340,31-35,1140.0,1340.0
University of Nebraska—​Lincoln,16829,0.782,1120-1360,22-28,1120.0,1360.0
